Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Duration_missing
Aa Dekhen Zara,2009,117.0,"Action, Sci-Fi, Thriller",5.0,866.0,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary,False
Aa Gale Lag Jaa,1973,148.0,"Action, Drama, Romance",7.2,348.0,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha,False
Aa Gale Lag Jaa,1994,158.0,"Mystery, Romance",4.4,115.0,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal,False
Aa Gaya Hero,2017,123.0,Action,2.7,339.0,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey,False
Aa Jao Please,2016,120.0,Drama,6.8,16.0,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya,False
Aaag Hi Aag,1999,,Action,4.9,28.0,T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Sneha,True
Aabra Ka Daabra,2004,144.0,Fantasy,2.4,264.0,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik,False
Aabroo,1956,,Romance,,,Chaturbhuj Doshi,Kamini Kaushal,Kishore Kumar,Madan Puri,True
Aabroo,1968,170.0,"Comedy, Crime, Drama",5.5,21.0,C.L. Rawal,Ashok Kumar,Vimi,Rehman,False
Aabroo,1943,,,5.2,5.0,Nazir,,,,True
Aabshar,1953,,"Drama, Romance",5.0,5.0,Hasrat Lucknowi,Iftekhar,Kuldip Kaur,Raaj Kumar,True
Aadab Arz,1943,,,5.2,5.0,V.C. Desai,Nalini Jaywant,Mukesh,,True
Aadab Hyderabad,2007,104.0,,,,Sanjay Punjabi,,,,False
Aadamkhor,1986,,Action,5.5,6.0,Joginder Shelly,Sona Mastan Mirza,Joginder Shelly,Neelam Mehra,True
Aadamkhor,2018,72.0,Horror,7.4,150.0,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat,False
Aadamkhor Hasina,2002,,Action,,,Salim Suma,Poonam Dasgupta,Raza Murad,Amit Pachori,True
Aadarniy Pitaji,2020,,Family,,,Prashant Kumar,,,,True
Aadarsh,1983,,Drama,,,,,,,True
Aadat,1989,,,,,Dev Malhotra,Madhuri Mishra,Ashok Pandey,Reema Raj,True
Aadat Se Majboor,1982,105.0,"Action, Crime, Drama",5.5,28.0,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri,False
Aadha Din Aadhee Raat,1977,132.0,Action,5.1,18.0,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi,False
Aadhaar,2019,107.0,Drama,7.6,69.0,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav,False
Aadhaar,2004,,Drama,,,Shorya Veer Saagar,Saurabh Agnihotri,Aryan Harnot,Pooja Raawat,True
Aadharshila,1982,154.0,Drama,6.4,19.0,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta,False
Aadhe Adhure,1996,,Drama,,,Pooja Choudhary,Tushar Dalvi,Narendra Gupta,Rekha Purohit,True
