Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Duration_missing
Prem Ki Devi,1936,,,,,Keravala,,,,True
Prem Ki Duniya,1946,,,,,Jyotish Bannerjee,Alaknanda,Chhabi Biswas,Ahindra Choudhury,True
Prem Ki Ganga,1971,,Romance,,,Kalyani,Ajay Kumar,Manish,Kamal Mishra,True
Prem Ki Jyot,1939,,,,,Gunjal,Eddie Billimoria,,,True
Prem Ki Ragni,1935,,,,,Surajram,,,,True
Prem Laksha,1936,,,,,Vimala Vasishta,,,,True
Prem Mayee,2012,130.0,Drama,,,Shekhar S. Jha,Auroshika Dey,Saini S. Johray,Yatin Karyekar,False
Prem Milan,2005,,Thriller,,,Mannan A. Gada,Reena Kapoor,Amit Pachori,Urmila,True
Prem Nagar,1940,,Romance,,,Mohan Dayaram Bhavnani,Gulzar,,,True
Prem Nagar,1974,200.0,"Drama, Musical, Romance",6.3,114.0,K.S. Prakash Rao,Rajesh Khanna,Hema Malini,Prem Chopra,False
Prem Paigham,1989,,Romance,,,Navin Kumar,Birbal,Deepika Chikhalia,Tina Ghai,True
Prem Pariksha,1934,,,,,Baburao Pendharkar,,,,True
Prem Parvat,1973,,"Drama, Romance",6.0,8.0,Ved Rahi,Birbal,Hiralal,Satish Kaul,True
Prem Path,1994,,Romance,,,Sudha Rani,Shashikumar,,,True
Prem Patra,1962,157.0,"Drama, Romance",7.6,68.0,Bimal Roy,Sadhana,Shashi Kapoor,Seema Deo,False
Prem Pratigyaa,1989,156.0,"Drama, Romance",5.9,230.0,Bapu,Mithun Chakraborty,Madhuri Dixit,Vinod Mehra,False
Prem Pujaari,1935,,Drama,,,Rafiq Rizvi,Alaknanda,Rafiq Ghaznavi,Keshavaro Mongle,True
Prem Pujari,1970,192.0,"Action, Drama, Musical",6.9,212.0,Dev Anand,Dev Anand,Waheeda Rehman,Shatrughan Sinha,False
Prem Qaidi,1991,156.0,"Action, Romance",2.1,153.0,K. Muralimohana Rao,Karisma Kapoor,Harish,Shafi Inamdar,False
Prem Rahasya,1981,,Romance,,,Adoor Bhasi,Krishna Chandran,Jayabharati,K.P.A.C. Lalitha,True
Prem Ratan Dhan Payo,2015,164.0,"Action, Drama, Musical",4.4,19913.0,Sooraj R. Barjatya,Salman Khan,Sonam Kapoor,Neil Nitin Mukesh,False
Prem Ratri,1936,,,,,Dwarka Khosla,Hari Shivdasani,,,True
Prem Rog,1982,183.0,"Drama, Musical, Romance",7.2,913.0,Raj Kapoor,Shammi Kapoor,Nanda,Tanuja,False
Prem Sagar,1939,,,,,Narottam Vyas,Varalakshmi S.,Paresh Bannerjee,Koklia,True
Prem Sakshi,2004,,Romance,,,Nutan Jayant,Madhu Kambikar,Nilu Phule,,True
Prem Samadhi,1938,,,,,Khurshid Begum,,,,True
Prem Sandesh,1988,,Romance,,,S.M. Sagar,Rakesh Bedi,Mumtaz Begum,Master Bhagwan,True
Prem Sangeet,1943,,,,,W.Z. Ahmed,Paidi Jairaj,Neena,,True
Prem Sanghat,1994,,Musical,,,Santanu Bhowmick,,,,True
Prem Shakti,1994,,"Action, Drama, Fantasy",3.9,81.0,Shibu Mitra,Govinda,Karisma Kapoor,Shakti Kapoor,True
Prem Shastra,1974,102.0,"Drama, Romance",6.5,55.0,B.R. Ishara,Dev Anand,Zeenat Aman,Bindu,False
Prem Shastra,1999,,Romance,,,Anil Dhanda,Neeraj Bharadwaj,Mahesh Gupta,Jhony Nirmal,True
Prem Sutra,2005,88.0,Thriller,,,Chandni Gupta,Chandni Gupta,Amit Pachori,Aman Sagar,False
Prem Tapasya,1983,137.0,"Drama, Romance",6.1,25.0,Narayana Rao Dasari,Jeetendra,Rekha,Reena Roy,False
Prem Tapasya,2002,105.0,Thriller,,,Sunny Kapoor,Chandni Gupta,Shabnam Raza,Sapna Sappu,False
Prem Vasna,2003,113.0,"Drama, Romance, Thriller",,,S. Prasad,Birbal,Anil Dhawan,Reena Kapoor,False
Prem Vivah,1979,,"Drama, Family",6.0,24.0,Basu Chatterjee,Asha Parekh,Harish Bhimani,Mithun Chakraborty,True
Prem Yog,1994,148.0,"Drama, Family",6.1,65.0,Rajeev Kumar,Rishi Kapoor,Madhoo,Shammi Kapoor,False
Prem Yudh,1985,,Romance,,,S.V. Rajendra Singh Babu,Ambika,Ravi Chandra,Sheetal,True
Prema Sikharam,1992,,"Comedy, Drama, Family",5.6,7.0,Satya Gopal Bhatnagar,C. Arunpandian,Brahmanandam,Uttej,True
Premaatur,2021,109.0,"Horror, Romance, Thriller",,,Sumit Sagar,Prashant Walde,Heta Shah,Kalyani Kumari,False
Premante Idera,1998,,"Romance, Drama",6.6,254.0,Jayant Paranji,Venkatesh Daggubati,Preity Zinta,Sivaji Raja,True
Prematho Raa,2001,,Romance,5.1,107.0,Uday Shankar,Venkatesh Daggubati,Simran,Isha Koppikar,True
PremGranth,1996,156.0,"Action, Drama, Musical",5.7,425.0,Rajiv Kapoor,Shammi Kapoor,Rishi Kapoor,Madhuri Dixit,False
Premi,2005,,Romance,,,Bhargavaram,Raks Jitender,,,True
Premi Gangaram,1978,,Romance,,,Jagdish Nirula,Yogeeta Bali,Bindu,I.S. Johar,True
Premi Pagal,1933,,,,,Ezra Mir,Noor Mohammad Charlie,Khatun,,True
Premika,1980,,Romance,,,Brij Katyal,Vinod Mehra,Usha Solanki,Usha Joshi,True
Premras,2001,,Romance,,,Anjalini,Mahesh Raaj,Rajeev Raj,,True
Prerana,1984,,Romance,,,Moti Sagar,Moti Sagar,Kiran Juneja,Manmohan Krishna,True
President,1937,,,,,Nitin Bose,Kamaleshkumari,K.L. Saigal,Leela Desai,True
Pret Atma,1997,114.0,Horror,3.5,6.0,R. Mittal,Rajesh Mittal,Birbal,Anil Dhawan,False
Pride and Honour,2004,162.0,"Action, Crime, Drama",5.5,3711.0,Puneet Issar,Salman Khan,Shilpa Shetty Kundra,Arbaaz Khan,False
Prince,1969,,"Musical, Romance",7.1,146.0,Lekh Tandon,Shammi Kapoor,Vyjayanthimala,Rajendranath Malhotra,True
Prince,2010,138.0,"Action, Sci-Fi, Thriller",4.2,2001.0,Kookie Gulati,Vivek Oberoi,Isaiah,Aruna Shields,False
Prince Vaali,2011,175.0,"Action, Adventure, Fantasy",5.8,11.0,Shiva Thejus,Daiana Menezes,,,False
Princess Saba,1958,,Action,,,R.K. Rehman,Kamran,Nazima,,True
Prisoner of Golconda,1954,,Fantasy,,,Prem Nath,Prem Nath,Bina Rai,Rajendranath Malhotra,True
Prisoners of Conscience,1978,45.0,Documentary,7.0,32.0,Anand Patwardhan,,,,False
Pritam,1942,,,,,Mohan Sinha,Maya Banerjee,Shyam Sunder,Shanti,True
Prithipal Singh,2015,,Biography,,,Babita Puri,Vikas Kumar,Anjali Patil,Deepak Sandhu,True
Prithvi,1997,136.0,"Action, Mystery, Thriller",4.4,108.0,Nitin Manmohan,Sunil Shetty,Shilpa Shetty Kundra,Suresh Oberoi,False
Prithvi Putra,1938,,,,,Jayant Desai,Eddie Billimoria,,,True
Prithvi Vallabh,1943,121.0,Drama,7.7,27.0,Sohrab Modi,Sadiq Ali,Durga Khote,Leela Mishra,False
Prithviraj,2021,,"Action, Drama, History",,,Chandra Prakash Dwivedi,Deependra Singh,Nikkita Chadha,Akshay Kumar,True
Prithviraj Samyogita,1946,,,,,Najam Naqvi,Prithviraj Kapoor,,,True
Prithviraj Sanyogita,1933,,,,,Ghaznavi,,,,True
Priti the dark shadow of society,2021,101.0,Family,,,Arjun Mahadev Vriti,Mohammad Ishtiyaq Mi Ishu Boy,Harish Gupta,Ayushi Chatterjee,False
Private Detective,1962,,Thriller,,,A. Shamsheer,Naazi,Samar Roy,Heera Sawant,True
Private Detective: Two Plus Two Plus One,1997,130.0,Mystery,5.8,63.0,Rajat Kapoor,Naseeruddin Shah,Shambhavi Kaul,Irrfan Khan,False
Private Life,1983,,Drama,,,B.K. Adarsh,Jaymala Adarsh,Ramesh Tiwari,Shrikant Moghe,True
Private Secretary,1962,,"Drama, Family",5.4,5.0,Chandra,Ashok Kumar,Jayshree Gadkar,Raja Gosavi,True
Private Teacher,2016,109.0,Romance,,,Satyam Chauhan,Gayatri Singh,Rachna Soni,Rachna Thakur,False
Priya,1970,,Drama,6.2,5.0,Govind Saraiya,Sanjeev Kumar,Tanuja,Agha,True
Priya: The Charming Girl of India,2019,,Romance,4.0,6.0,Jay Kumar,Madhu Roy,Ekaterina Antonova,Tatyana Melnikova,True
Priyanka,1994,135.0,,5.7,27.0,Viji Chandrashekhar,Delhi Ganesh,Anuradha Hasan,Jaishankar,False
Priyasakhi,2005,157.0,"Drama, Family, Romance",4.6,153.0,K.S. Adiyaman,Sanjay Singh,Madhavan,Sada,False
Priyatama,1978,120.0,"Comedy, Drama, Romance",6.7,51.0,Basu Chatterjee,Jeetendra,Neetu Singh,Rakesh Roshan,False
Procession of Memories,1973,164.0,"Action, Drama, Musical",7.4,1917.0,Nasir Hussain,Dharmendra,Zeenat Aman,Vijay Arora,False
Professor,1962,166.0,"Comedy, Drama, Musical",7.0,248.0,Lekh Tandon,Shammi Kapoor,Lalita Pawar,Parveen Choudhary,False
Professor and Jadugar,1968,155.0,,,,Sultan,Indira Bansal,Khurshid Bawra,Dalpat,False
Professor Ki Padosan,1994,138.0,Comedy,6.2,69.0,Shantilal Soni,Ravi Tandon,Sanjeev Kumar,Padmini Kolhapure,False
Professor Pyarelal,1981,133.0,"Action, Crime, Thriller",6.6,103.0,Brij,Zeenat Aman,Master Bhagwan,Brahmachari,False
Professor Waman M. Sc.,1938,,Sci-Fi,,,Manibhai Vyas,Eddie Billimoria,Mazhar Khan,Sunita,True
Professor X,1966,,Fantasy,,,Bela Bose,Vijaya Choudhury,Hiralal,Nazir Kashmiri,True
Project Kahuta,2021,82.0,"Biography, History, Thriller",,,Ankur Pajni,Manjari Fadnnis,Vinay Pathak,Ayushi Gupta,False
Project Marathwada,2016,110.0,Drama,6.4,77.0,Bhavin Wadia,Om Puri,Seema Biswas,Govind Namdeo,False
Project No.1,1998,,Drama,,,Sheela Gaud,Damandeep,Shitul Gaud,,True
Project Papa,2018,97.0,Drama,6.6,27.0,Kanika Batra,Kanika Batra,Rakesh Batra,Rajit Kapoor,False
Psychedelhi,2017,135.0,Drama,,,Surya Shankar,Vipin Bharadwaj,,,False
Psycho Raman,2016,133.0,"Crime, Drama, Thriller",7.4,13418.0,Anurag Kashyap,Nawazuddin Siddiqui,Vicky Kaushal,Sobhita Dhulipala,False
Pucca Badmaash,1991,,Action,,,A. Salaam,Kiran Juneja,Amjad Khan,Suresh Oberoi,True
Pudhiya Geethai,2003,140.0,"Action, Drama, Romance",4.7,1229.0,Jagan,Joseph Vijay,Meera Jasmine,Ameesha Patel,False
Pugree,1948,,Comedy,,,Anant Thakur,Amar,Ram Avtar,Chopra,True
Pujari,1946,,,,,Aspi Irani,Bipin Gupta,Madhubala,Masood,True
Pujarin,1969,,,,,Dhirubhai Desai,Vijay Dutt,Sadhana Khote,Niranjan Sharma,True
Pujarin,1936,137.0,,,,Prafulla Roy,K.L. Saigal,Chandrabati Devi,Pahadi Sanyal,False
Pujarini,1935,,,,,Nandlal Jaswantlal,Dinshaw Bilimoria,Jamshedji,Jillo,True
Pukar,1983,161.0,"Action, Drama, Musical",6.0,316.0,Ramesh Behl,Amitabh Bachchan,Zeenat Aman,Randhir Kapoor,False
Puli Bebbuli,1983,149.0,"Action, Family, Drama",6.3,15.0,K.S.R. Das,Krishnamraju,Chiranjeevi,Jaya Prada,False
Pump Up the Mandali,2010,,"Comedy, Drama, Music",,,Monti Issar,Azahr Adam,Rashmi Agarwal,Anandi lal Amin,True
Pumpapur Ki Ramleela,2015,,Drama,,,Manoj Sati,Seema Biswas,Gulshan Grover,Eijaz Khan,True
Punar Milan,1940,,"Drama, Romance",,,Najam Naqvi,Devika Rani,Snehprabha,Kishore Sahu,True
Punar Milan,1964,,Drama,6.0,7.0,Ravindra Dave,Ameeta,Mumtaz Begum,Leela Chitnis,True
Punarjanma,1938,,,,,Jeevan,Jal Merchant,,,True
Punches n Ponytails,2008,74.0,Documentary,,,Pankaj Rishi Kumar,,,,False
Pune tc,2012,,Comedy,,,Abhijeet Choudhary,Sulagna Chatterjee,Abhijeet Choudary,Dhanashree Heblikar,True
Punjab Ka Sinh,1936,,,,,Kanjibhai Rathod,Gulab,,,True
Punjab Lancers,1937,,,,,N.G. Devare,Homi Master,,,True
Punjab Mail,1939,,,,,Homi Wadia,Fearless Nadia,,,True
Punnagai Mannan,1986,153.0,"Comedy, Drama, Romance",7.8,830.0,K. Balachander,Kamal Haasan,Revathi,Rekha,False
Punnami Nagu,2009,,"Adventure, Drama, Fantasy",4.3,6.0,A. Kodandarami Reddy,Mumait Khan,Nalini,Suhasini,True
Purab Aur Pachhim,1970,142.0,"Drama, Romance",7.4,863.0,Manoj Kumar,Ashok Kumar,Saira Banu,Manoj Kumar,False
Puran Bhagat,1933,159.0,,6.5,10.0,Debaki Bose,Choudhury Mohammed Rafiq,M. Kumar,Anwari,False
Purana Mandir,1984,144.0,"Comedy, Drama, Horror",6.4,492.0,Shyam Ramsay,Tulsi Ramsay,Mohnish Bahl,Arti Gupta,False
Purana Purush,1978,136.0,"Action, Adventure, Comedy",8.4,34.0,G.S. Murthy,Prabhakar,Manohar,Anamika,False
Purani Haveli,1989,139.0,Horror,5.2,250.0,Shyam Ramsay,Tulsi Ramsay,Deepak Parashar,Amita Nangia,False
Purani Jeans,2014,137.0,"Drama, Romance",6.3,762.0,Tanushri Chattrji Bassu,Tanuj Virwani,Izabelle Leite,Aditya Seal,False
Purani Kabar,1998,,Horror,4.6,12.0,Rajeev Raj,Mohini,Mohan Joshi,Jack Gaud,True
Purani Pehchan,1971,,Drama,,,Kewal Misra,Sanjeev Kumar,Tanuja,Bela Bose,True
Puraskar,1970,,"Action, Comedy, Crime",4.6,8.0,Ram Kumar,Joy Mukherjee,Sapana,Helen,True
Puraskar,1948,,Drama,,,T.R. Sundaram,,,,True
Puratchi Thalaivi,2021,,Biography,,,Bharathiraja,Anushka Shetty,,,True
Purdah,2018,71.0,"Documentary, Drama, Sport",8.1,276.0,Jeremy Guy,,,,False
Purna Satya,1997,,Action,,,Aroskar,Ishrat Ali,Kishore Anand Bhanushali,Anant Jog,True
Purnima,1965,120.0,"Family, Romance",6.5,41.0,Narendra Suri,Dharmendra,Meena Kumari,Mehmood,False
Purush- Freedom of Choice,2018,,Comedy,,,Tarun Datta,Raja Chaudhary,Sachin Datta,Tarun Datta,True
Pushkar Puran,2017,100.0,Documentary,6.5,22.0,Kamal Swaroop,,,,False
Pushpa,2021,,"Action, Drama, Thriller",,,Sukumar,Allu Arjun,Fahadh Faasil,Rashmika Mandanna,True
Pushpanjali,1970,,"Drama, Family",7.1,9.0,Kishore Sahu,Sanjay Khan,Naina Sahu,Kishore Sahu,True
Pushpasaram,2001,,,,,Jayadevan,Rajkumar,Shakeela,Sindhu,True
Pustak,2017,68.0,Drama,,,Swadhaa R Singh,Arun Shekhar,,,False
Putlibai,1999,,"Action, Drama, Thriller",,,Yash Chouhan,Rajesh Bakshi,Lekha Govil,Raj Kiran,True
Putlibai,1972,,Action,,,Ashok Roy,Chandrashekhar,Sujit Kumar,Jaya Mala,True
Pyaar,1940,,,,,Dhirubhai Desai,Anwari,Ishwarlal,,True
Pyaar Banam Khap Panchayat,2020,118.0,Drama,,,Shambhu Purohit,Manoj Pandit,Manoj Bakshi,Donal Bisht,False
Pyaar Bina Jag Soona,1985,,Romance,,,Surendra Sinha,Shoma Anand,Arun Govil,Kalpana Iyer,True
Pyaar Diwana,1972,135.0,Comedy,5.9,15.0,Samar Chatterjee,Kishore Kumar,Mumtaz,Padma Khanna,False
Pyaar Diwana Hota Hai,2002,148.0,"Comedy, Drama, Romance",3.9,335.0,Rani Mukerji,Govinda,Om Puri,Laxmikant Berde,False
Pyaar Hawas Dhoka,2015,109.0,"Romance, Thriller",,,M. Irfan,Ruby Ahmed,Vijay Bhaskar,Imtiaz Sultan,False
Pyaar Impossible!,2010,140.0,"Comedy, Romance",4.6,3023.0,Jugal Hansraj,Priyanka Chopra Jonas,Anupam Kher,Uday Chopra,False
Pyaar Ishq Aur Mohabbat,2001,,"Drama, Musical, Romance",4.0,587.0,Rajiv Rai,Arjun Rampal,Kirti Reddy,Sunil Shetty,True
Pyaar Ka Pahela Sawan,1989,,"Drama, Romance",,,Sudhir Dalvi,Sonika Gill,Vicky Khan,Chaman Puri,True
Pyaar Ka Punchnama,2011,149.0,"Comedy, Drama, Romance",7.6,20388.0,Luv Ranjan,Kartik Aaryan,Raayo S. Bakhirta,Divyendu Sharma,False
Pyaar Ka Punchnama 2,2015,137.0,"Comedy, Drama, Romance",7.2,14259.0,Luv Ranjan,Kartik Aaryan,Omkar Kapoor,Sunny Singh Nijjar,False
Pyaar Ka Rishta,1973,137.0,Drama,6.1,11.0,Sultan Ahmed,Balraj Sahni,Sameer Khan,Mumtaz,False
Pyaar Ka Saagar,1961,,"Drama, Family, Musical",6.5,31.0,Devendra Goel,Rajendra Kumar,Meena Kumari,Madan Puri,True
Pyaar Ka Saaya,1991,,Drama,4.1,58.0,Vinod K. Verma,Amrita Singh,Rahul Roy,Sheeba,True
Pyaar Ka Sindoor,1986,,"Drama, Romance",4.0,10.0,Bapu,Jyoti,Anil Kapoor,Mukkamala,True
Pyaar Ka Tarana,1993,136.0,"Musical, Drama",4.3,24.0,Dev Anand,Manu Gargi,Anita Ayoob,Akshay Anand,False
Pyaar Ka Toofan,1990,,"Action, Romance",,,S.M. Iqbal,Aditya Pancholi,Vijayata Pandit,Jamuna,True
Pyaar Kaa Fundaa,2010,,"Comedy, Romance",,,Monazir Hasan,Kashi Tiwari,Yugbodh Garewal,Shakti Kapoor,True
Pyaar Karke Dekho,1987,144.0,"Drama, Family",6.4,58.0,D. Rajendra Babu,Govinda,Mandakini,Kader Khan,False
Pyaar Karle,2019,116.0,Drama,3.6,5.0,Rudra Patla Venugopal,Chitram Basha,Udita Goswami,Faheem Ul Haq,False
Pyaar Ke Do Chaar Din,1987,,"Drama, Romance",,,Birbal,Brahmachari,Ajit Singh Deol,Jagminder,True
Pyaar Ke Rahi,1982,137.0,Romance,,,Atma Ram,Kanwaljit Singh,Padmini Kapila,Suresh Chatwal,False
Pyaar Ke Side Effects,2006,132.0,"Comedy, Drama, Romance",6.7,3038.0,Saket Chaudhary,Rahul Bose,Mallika Sherawat,Ranvir Shorey,False
Pyaar Ki Dastan,1961,,"Drama, Romance",,,P.L. Santoshi,Ameeta,Mohan Choti,Helen,True
Pyaar Ki Jeet,1948,,"Drama, Romance",,,O.P. Dutta,Gope,Manmohan,Raj Mehra,True
Pyaar Ki Maar,1935,,,,,Anand Prasad Kapoor,Gohar,,,True
Pyaar Ki Manzil,1950,,,,,Keki Mistry,Rehman,,,True
Pyaar Ki Miss Call,2009,,Drama,,,Razul Alam,Gaurav Prateek,Dalip Tahil,Mushtaq Khan,True
Pyaar Ki Raat,1949,,,,,A.R. Zamindar,Master Bhagwan,Baburao Pahelwan,Leela Gupte,True
Pyaar Kiya Nahin Jaata..,2003,77.0,"Drama, Romance",6.1,14.0,Mahesh Manjrekar,Usha Bachani,Sonali Bendre,Nikhil Chinappa,False
Pyaar Kiya To Darna Kya,1998,162.0,"Action, Comedy, Drama",6.7,4770.0,Sohail Khan,Salman Khan,Kajol,Arbaaz Khan,False
Pyaar Kiya To Darna Kya,1963,,"Comedy, Drama, Musical",7.0,37.0,Ranga B.S.,Prithviraj Kapoor,Shammi Kapoor,Saroja Devi B.,True
Pyaar Koi Khel Nahin,1999,165.0,"Drama, Romance, Thriller",3.3,371.0,Subhash Sehgal,Sunny Deol,Mahima Chaudhry,Apoorva Agnihotri,False
Pyaar Mein Kabhi Kabhi...,1999,,"Comedy, Drama, Musical",4.4,169.0,Raj Kaushal,Dino Morea,Rinke Khanna,Priya Ahluwalia,True
Pyaar Mein Sauda Nahin,1982,,"Drama, Romance",,,Santosh Saroj,Rakesh Bedi,Kader Khan,Raj Kiran,True
Pyaar Mein Twist,2005,123.0,"Comedy, Drama, Musical",6.1,185.0,Hriday Shetty,Rishi Kapoor,Dimple Kapadia,Vikas Bhalla,False
Pyaar Mohabbat,1988,,"Drama, Romance",3.6,19.0,Ajay Kashyap,Rakhee Gulzar,Govinda,Mandakini,True
Pyaar Se from Kolkata - Pari,2019,49.0,Drama,4.8,5.0,Sanjoy,Debapriyo Bagchi,Jinia Pande,,False
Pyaar to Hona Hi Tha,1998,156.0,"Comedy, Drama, Romance",6.7,2998.0,Anees Bazmee,Ajay Devgn,Kajol,Bijay Anand,False
Pyaar Tune Kya Kiya...,2001,123.0,"Drama, Romance, Thriller",5.7,807.0,Rajat Mukherjee,Fardeen Khan,Ravi Baswani,Kannu Gill,False
Pyaar Vali Love Story,2014,133.0,Drama,5.9,59.0,Sanjay Jadhav,Sameer Dharmadhikari,Swapnil Joshi,Namrata Kadam,False
Pyaar Zindagi Hai,2001,157.0,"Drama, Romance, Thriller",6.5,44.0,Vijay Sadanah,Rajesh Khanna,Vikas Kalantri,Ashima Bhalla,False
Pyaara Dost,1982,,Thriller,4.6,5.0,Imtiaz Khan,Imtiaz Khan,Amjad Khan,Ranjeeta Kaur,True
Pyaara Dushman,1955,,,,,Master Bhagwan,Paidi Jairaj,Kumkum,Sulochana Latkar,True
Pyaara Dushman,1980,,Action,4.3,13.0,Anand Sagar,Amjad Khan,Vidya Sinha,Rakesh Roshan,True
Pyaari Bhabhi,1985,,"Drama, Family",,,K.C. Agarwal,Ibne Bakshi,Master Bhagwan,Uma Dhawan,True
Pyaas,1982,,Drama,7.2,28.0,O.P. Ralhan,Zeenat Aman,Kamini Kaushal,Manmohan Krishna,True
Pyaas,1956,,Mystery,,,Bina Rai,Rehman,,,True
Pyaasa,1957,146.0,"Drama, Musical, Romance",8.4,5823.0,Guru Dutt,Guru Dutt,Waheeda Rehman,Mala Sinha,False
Pyaasa,2002,137.0,"Drama, Romance",3.3,96.0,Anil Mattoo,A. Muthu,Aftab Shivdasani,Zulfi Sayed,False
Pyaasa Aashiq,1994,,Thriller,,,,,,,True
Pyaasa Dil,1990,,Thriller,,,Kapil Dev,Siddique,Sukumari,,True
Pyaasa Haiwan,2003,106.0,Horror,5.3,30.0,Kanti Shah,Sapna Sappu,Kanti Shah,Randhir Singh,False
Pyaasa Nasha,2005,,Thriller,,,,,,,True
Pyaasa Sawan,1981,161.0,"Family, Romance",7.4,77.0,Narayana Rao Dasari,Jeetendra,Reena Roy,Vinod Mehra,False
Pyaase Armaan,2002,,Romance,,,Rajesh,Roopa,Sajani,Shakeela,True
Pyaase Honth,1985,,Action,,,Charandas Shokh,Rakesh Roshan,Ranjeeta Kaur,Asrani,True
Pyaase Nain,1954,,,,,Bhudo Advani,Anwari,Gope,Nimmi,True
Pyaasi,2003,,Horror,6.2,5.0,Kanti Shah,Sapna Sappu,Kanti Shah,Anil Nagrath,True
Pyaasi Aankhe,2001,,Thriller,,,Maria,Maria,Mohan,Mohan,True
Pyaasi Atma,1988,,Horror,6.1,7.0,Ismail Inamdar,A.K. Misra,Amar,Lalita Pawar,True
Pyaasi Bhootni,2003,,Horror,5.9,9.0,Kanti Shah,Amit Pachori,Sapna Sappu,Kanti Shah,True
Pyaasi Dharti,1965,,Drama,,,,,,,True
Pyaasi Mamta,1986,,Drama,,,Chander H. Bahl,Aajesh Rekhi,Upasna Singh,Nirala Thakur,True
Pyaasi Mohabbat,1992,,Thriller,,,Anuradha,Janardanan,Pramila,Raghu,True
Pyaasi Nadi,1973,,Thriller,,,K. Shankar,Vikram Makandar,Vani Ganpati,Shahina,True
Pyaasi Nagin,2004,84.0,Horror,,,Kishan Shah,Karishma,Riya,Vinod Tripathi,False
Pyaasi Sherni,2004,,Thriller,,,,,,,True
Pyaassi Ankhen,1983,,Drama,5.6,10.0,Ram Kelkar,Shabana Azmi,Amol Palekar,Waheeda Rehman,True
Pyar,1950,,Drama,8.5,23.0,V.M. Vyas,Raj Kapoor,W.M. Khan,Nargis,True
Pyar,1969,,Romance,,,Prahlad Sharma,Alka,Vereen Bharati,Pandit Natwar,True
Pyar Bana Afsana,1968,,Romance,,,Agha,Jagdeep,Murad,Achala Sachdev,True
Pyar Bhara Dil,1991,147.0,"Drama, Romance",6.3,14.0,Chandra Barot,Deepa Barot,Rakesh Bedi,Harish Bhimani,False
Pyar Bhara Khat,1992,,Romance,,,Ravinder Singh,,,,True
Pyar Deewana Hota Hain,1992,,Romance,,,Anand S. Vardhan,Zaheer Rizvi,Saathi Ganguly,Pankaj Berry,True
Pyar Do Pyar Lo,1995,,Romance,,,Sunil Kumar,Bharat Bhushan,Biswajit Chatterjee,Jagdeep,True
Pyar Ektarfa,2019,,Thriller,,,Pratyush Upadhyay,Sara Khan,Aayat Shaikh,Saurabh Shrikant,True
Pyar Hi Pyar,1969,135.0,Romance,6.9,64.0,Bhappi Sonie,Vyjayanthimala,Dharmendra,Pran,False
Pyar Ho Gaya,1986,,Romance,3.6,7.0,Girish Manukant,Avinash Wadhawan,Ranjeet Raj,Roobini,True
Pyar Hua Badnaam,1992,,Romance,,,Vicky Sharma,,,,True
Pyar Hua Chori Chori,1992,154.0,Romance,6.3,51.0,K. Bapaiah,Jasti Hemambar,Mithun Chakraborty,Gautami,False
Pyar Hua Dheere Dheere,1993,,Romance,,,Prabha Mishra,Akhlish,Anchana,Ria Kaushal,True
Pyar Jhukta Nahin,1985,135.0,"Family, Romance",6.3,175.0,Vijay Sadanah,Mithun Chakraborty,Padmini Kolhapure,Danny Denzongpa,False
Pyar Ka Anubhav,2000,,Thriller,,,,,,,True
Pyar Ka Bandhan,1963,,"Drama, Family, Romance",4.6,8.0,Naresh Saigal,Raaj Kumar,Nishi,Kumari Naaz,True
Pyar Ka Devta,1990,148.0,"Action, Comedy, Drama",3.8,114.0,K. Bapaiah,Mithun Chakraborty,Madhuri Dixit,Bharat Bhushan,False
Pyar Ka Jigar,2003,,Romance,,,Giri Babu,Venu Madhav,Duvvasi Mohan,,True
Pyar Ka Josh,1976,,Romance,,,,,,,True
Pyar Ka Karz,1990,161.0,Drama,6.1,29.0,K. Bapaiah,Dharmendra,Meenakshi Sheshadri,Mithun Chakraborty,False
Pyar Ka Mandir,1988,148.0,"Drama, Family",6.5,96.0,K. Bapaiah,Mithun Chakraborty,Madhavi,Bharat Bhushan,False
Pyar Ka Mausam,1969,153.0,"Drama, Musical, Romance",6.8,107.0,Nasir Hussain,Asha Parekh,Shashi Kapoor,Bharat Bhushan,False
Pyar Ka Maza,1992,,Thriller,,,Abhilasha,Salina Mathu,Saku Raman,,True
Pyar Ka Nasha,2001,,Thriller,,,U.C. Roshan,,,,True
Pyar Ka Rog,1994,,"Comedy, Drama, Romance",4.0,14.0,Akashdeep,Ravi Behl,Sheeba,Bindu,True
Pyar Ka Sapna,1969,147.0,"Comedy, Drama, Family",6.2,20.0,Hrishikesh Mukherjee,Ashok Kumar,Biswajit Chatterjee,Mala Sinha,False
Pyar Ka Saudagar,1991,136.0,Romance,4.4,8.0,Kalidas,Aasif Sheikh,Moon Moon Sen,Mandakini,False
Pyar Ka Sawan,1991,,Romance,,,Kumud Bole,Arun Govil,Pradeep Kumar,Debashree Roy,True
Pyar Ka Tarang,2000,97.0,Thriller,,,,,,,False
Pyar Ka Tohfa,1992,,Thriller,,,Poonam Dasgupta,Harish,Disco Shanti,,True
Pyar Karenge Pal Pal,1996,,Romance,,,Vijay Trivedi,Amit Dhamija,Fazal Khan,Anand Kumar,True
Pyar Karnewale Kabhi Kam Na Honge,1995,,Romance,,,Punny Sehgal,Sajaan,Rooplata,Rocky,True
